"Presubiculum, layer 1",3
"Presubiculum, layer 2",9
"Presubiculum, layer 3",8
Posterior pretectal nucleus,2
Lateral posterior nucleus of the thalamus,33
"Nucleus of the lateral olfactory tract, layer 3",3
Principal sensory nucleus of the trigeminal,12
"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",2
Parataenial nucleus,3
"Superior colliculus, motor related, deep white layer",2
"Periventricular hypothalamic nucleus, intermediate part",3
Ectorhinal area/Layer 6a,15
"Primary somatosensory area, trunk, layer 4",14
"Primary somatosensory area, trunk, layer 5",30
"Subiculum, dorsal part, molecular layer",1
Subthalamic nucleus,6
Olivary pretectal nucleus,3
Lateral hypothalamic area,58
"Orbital area, ventrolateral part, layer 6a",5
"Bed nuclei of the stria terminalis, anterior division, anteromedial area",9
"Taenia tecta, ventral part, layer 2",4
"Taenia tecta, ventral part, layer 3",5
"Taenia tecta, ventral part, layer 1",5
Medial habenula,7
Paracentral nucleus,3
"Primary somatosensory area, mouth, layer 1",4
"Superior central nucleus raphe, lateral part",7
Intercalated amygdalar nucleus,4
"Primary somatosensory area, mouth, layer 5",22
"Primary somatosensory area, mouth, layer 4",6
"Visceral area, layer 1",2
"Central amygdalar nucleus, lateral part",6
"Declive (VI), molecular layer",3
"Visceral area, layer 5",15
"Visceral area, layer 4",1
"Primary somatosensory area, nose, layer 4",3
"Primary somatosensory area, nose, layer 5",10
"Anterior cingulate area, ventral part, layer 1",18
"Primary somatosensory area, nose, layer 1",1
"Lobule II, molecular layer",15
"Primary somatosensory area, lower limb, layer 2/3",26
Parasolitary nucleus,2
"Basolateral amygdalar nucleus, ventral part",4
"Anteromedial visual area, layer 2/3",7
Linear nucleus of the medulla,2
"Parasubiculum, layer 2",4
"Parasubiculum, layer 3",8
"Primary somatosensory area, unassigned, layer 4",6
"Postsubiculum, layer 2",3
"Postsubiculum, layer 3",9
"Postsubiculum, layer 1",3
"Primary motor area, Layer 6b",7
"Primary motor area, Layer 6a",71
"Flocculus, molecular layer",6
Posterior complex of the thalamus,28
"Visceral area, layer 2/3",6
"Anteromedial nucleus, dorsal part",8
Anterior amygdalar area,15
"Superior colliculus, zonal layer",4
"Orbital area, medial part, layer 2/3",8
"Field CA2, stratum oriens",9
"Secondary motor area, layer 2/3",87
"Crus 2, molecular layer",11
"Supplemental somatosensory area, layer 6a",32
"Perirhinal area, layer 2/3",9
"Inferior colliculus, central nucleus",27
Nucleus of reunions,23
"Lobule III, molecular layer",25
"Lateral reticular nucleus, magnocellular part",5
"Cortical amygdalar area, posterior part, lateral zone, layer 2",9
"Cortical amygdalar area, posterior part, lateral zone, layer 3",11
"Cortical amygdalar area, posterior part, lateral zone, layer 1",7
Diagonal band nucleus,23
"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",5
"Parabrachial nucleus, lateral division, dorsal lateral part",3
"Field CA1, pyramidal layer",55
"Orbital area, medial part, layer 6a",4
"Subiculum, dorsal part, pyramidal layer",23
"Copula pyramidis, granular layer",3
"Primary somatosensory area, barrel field, layer 1",3
"Mediodorsal nucleus of the thalamus, medial part",15
"Primary somatosensory area, barrel field, layer 4",35
"Retrosplenial area, lateral agranular part, layer 5",6
"Nucleus of the solitary tract, gelatinous part",1
"Spinal nucleus of the trigeminal, interpolar part",38
Paraventricular nucleus of the thalamus,19
"Primary somatosensory area, mouth, layer 2/3",14
"Dorsal peduncular area, layer 1",3
Edinger-Westphal nucleus,7
Dentate nucleus,7
"Dorsomedial nucleus of the hypothalamus, ventral part",2
"Crus 1, molecular layer",22
"Anterior hypothalamic nucleus, central part",7
Central linear nucleus raphe,2
"Cortical amygdalar area, posterior part, medial zone, layer 2",2
"Cortical amygdalar area, posterior part, medial zone, layer 3",11
"Subiculum, ventral part, pyramidal layer",56
"Anteromedial visual area, layer 4",5
"Anteromedial visual area, layer 5",13
"Primary somatosensory area, upper limb, layer 2/3",53
"Anteromedial visual area, layer 1",1
"Primary somatosensory area, mouth, layer 6a",6
"Primary somatosensory area, mouth, layer 6b",2
"Cochlear nucleus, subpedunclular granular region",1
"Dorsal auditory area, layer 2/3",18
"Entorhinal area, lateral part, layer 4/5",2
"Primary somatosensory area, nose, layer 6b",1
"Primary somatosensory area, nose, layer 6a",11
"Nucleus of the lateral olfactory tract, molecular layer",3
"Piriform area, pyramidal layer",89
"Dorsal auditory area, layer 6b",7
"Dorsal auditory area, layer 6a",12
Dopaminergic A13 group,1
Pontine central gray,12
"Entorhinal area, lateral part, layer 2/3",7
"Posterior parietal association areas, layer 6a",14
"Posterior parietal association areas, layer 6b",5
"Anterolateral visual area, layer 2/3",19
